finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
ecam du (upper ecam) taken for pk-gpp,"['install ecam du (upper ecam)', 'do operational test of the eis']","[2.0, 2.0]","['gah320e1', 'gah2p1e1']",0
ecmu #1 fault during test,"['obey all warnings, cautions and notes as', 'do troubleshoot of the failure ecmu #1']","[0.5, 6.0]","['gah320e1', 'gah310e1']",0
ecmu #2 fault during test,"['obey all warnings, cautions and notes as', 'do troubleshoot of the failure ecmu #2']","[0.5, 6.0]","['gah320e1', 'gah310e1']",0
ecu c/class seat found fault position 11dg,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 11hk,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 7dg,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 7hk,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 10.0, 8.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 8ac,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 10.0, 8.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 8dg,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 8hk,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 9ac,"['obey all of the warnings, cautions and n', 'replace the ecu (electrical control unit', 'calibration of the electrically operated']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 9dg,"['obey all of the warnings, cautions, and', 'replace the i-motion controller (ecu) c-', 'do calibration of the related seats']","[1.0, 0.0, 0.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
ecu c/class seat found fault position 9hk,"['obey all of the warnings, cautions, and', 'replace the i-motion controller (ecu) c-', 'do calibration of the related seats']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
edge surface area of air intake found light corrosion,"['remove light corrosion', 'touch up appropriate surface protection']","[2.0, 2.0]","['gah320s1', 'w403']","41114-000u-9:d2603 (alexit fst clear coat high gloss 411-14)
11344-1821-n:d2603 (seevenax 113-44)
41122-909g-0-428:d2603 (411-22 white bac 70846)
41122-51qa-0-428:91342 (alexit-h/s basecoat (turquoise p7472c))"
edp green gasket torn,['rep edp green gasket'],[2.0],['gah250a1'],nan
eec eng#2 bracket crack,"['remove lower eec bracket eng#2', 'obey all of the warnings, cautions and n', 'perform permanent repair to eec eng#2 br', 'install lower eec bracket eng#2', 'cover with order 803700233']","[2.0, 0.1, 4.0, 2.0, 0.1]","['gah320a1', 'w303', 'w303', 'gah320a1', 'gah320a1']",nan
eec scuf inlet cooling crack,"['laboratory', 'welding']","[2.0, 3.0]","['gemreplb', 'gemrepwd']",nan
elevator access panel screw broken 30 ea,['replace screw elevator panel'],[2.0],['gah310a1'],nan
"emergency light proximity at aft, mid, fwd galley bad condition.","['replace floor proximity emergency escape', 'apply sealant between the sides of the n']","[2.0, 2.0]","['gah320c1', 'gah320s1']",nan
emergency medical kit found expired pos door 4rh,"['obey all of the warnings, cautions, and', 'remove the emergency medical kit for sen', 'install the emergency medical kit']","[1.0, 1.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
emergency medical kit found expired position coatroom 4rh pn:6240-25 sn:120052 exp:31 jul 2022,"['cover by 805196064', 'cover by 805196064']","[0.1, 0.1]","['gah320c1', 'gah320c1']",0
emergency ram air check valve flappers not fully open 5551hb,['cover by order 805245771'],[0.5],['gah330e1'],nan
emk position s4r was dirty,['clean the emergency medical kit'],[0.1],['gah310c1'],nan
endcap and cover rubstrip rh side unproper installed post attd seat 2rh,['re-install the attd seat endcap and cove'],[4.0],['w101'],nan
"endcap attd seat pos 4aft lh, 2rh, 4aft lh, 4aft rh, 4lh, 4rh found broke 14ea","['general precaution', 'replace endcap attendant seat']","[0.1, 2.0]","['w101', 'w101']",0
endcap proximity area galley broken 10ea,"['obey all of the warnings, cautions, and', 'replace endcap floor proximity emergency']","[1.0, 2.0]","['gah310c1', 'gah310c1']",0
eng #1 454 gr rubber seal was tear off,['replace rubber seal at eng #1 454 gr'],[2.0],['gah320a1'],0
eng #1 air intake cowl lip seal need reseal pos. 6 <(>&<)> 9 clock,['cover mdr order 803937189'],[0.1],['w302'],nan
eng #1 air intake cowl lip seal need reseal pos. 6 <(>&<)> 9 o' clock,['do reseal eng #1 air intake cowl pos. 6'],[2.0],['gah310s1'],nan
eng #1 air intake cowl lip seal need reseal pos. 6 <(>&<)> 9 o'clock,['cover mdr order 803937189'],[0.1],['w302'],nan
eng #1 anti ice exhaust rubber seal tear off,"['obey all warnings, cautions and notes as', 'replace eng#1 thermal anti ice exhaust d', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng #1 anti ice valve stuck open,"['do troubleshoot of the loss of engine #1', 'replace eng#1 anti ice valve', 'do leak test of the anti ice valve insta', 'do test of the anti ice valve ( with eng']","[6.0, 3.0, 2.0, 4.0]","['gah330e1', 'gah320e1', 'gah320e1', 'gah320e1']","65e63-2:72914 (valve, press reg - eng anti ice)
65e63-2:72914 (valve, press reg - eng anti ice)"
eng #1 anti ice valve unable to open during run up,"['replace eng#1 anti ice valve', 'do a test pressure regulating valve with']","[3.0, 1.0]","['gah320a1', 'gah320a1']",nan
eng #1 aohe bracket crack,"['remove aohe bracket at eng#1', 'obey all warnings, cautions, and notes g', 'perform permanent repair to aohe bracket', 'do dvi after to ensure the repair', 'install aohe bracket at eng#1']","[2.0, 0.1, 8.0, 2.0, 2.0]","['gah310a1', 'w301', 'w301', 'w301', 'gah310a1']",nan
eng #1 bleed not closed,['eng #1 bleed not closed'],[0.0],['gah210zz'],"6764b040000:f1958 (valve, bleed)"
eng #1 decals peel off,"['fabricate the placard,,', 'install exterior decal on the surface,,,']","[10.0, 10.0]","['w403', 'w403']",0
eng #1 drain oil tube bracket crack pos lp turbine case,"['remove drain oil tube bracket at lp turb', 'obey all warnings, cautions, and notes a', 'perform permanent repair to bracket', 'do dvi after to ensure the repair', 'install drain oil tube bracket at lp tur']","[2.0, 0.1, 12.0, 2.0, 2.0]","['gah310a1', 'w301', 'w301', 'w301', 'gah310a1']",nan
eng #1 eec bracket found crack 3cm pn: fk13740,"['remove eec bracket eng#1', 'obey all warnings, cautions,and notes as', 'perform permanent repair by welding to', 'do detail visual inspection to check of', 'identify the repair by vibro-etch the', 'install eec bracket eng#1']","[2.0, 0.1, 6.0, 2.0, 2.0, 2.0]","['gah310a1', 'w303', 'w303', 'w303', 'w303', 'gah310a1']",nan
eng #1 fan blade no #16 found nick at zone c leading edge,"['examine fan blade #16 eng#1 for limitati', 'repair nicks on eng #1 fan blade #16 by', 'fluorescent penetrant crack test of the', 'do the test no.11 the engine vibration s']","[1.0, 3.0, 1.0, 2.0]","['gah320a1', 'gemrepmr', 'gemrepnd', 'gah310a1']",nan
eng #1 fan blade no #4 found nick at zone c leading edge,"['examine fan blade #4 for limitation', 'repair nicks on eng #1 fan blade #4 by', 'fluorescent penetrant crack test of the', 'do the test no.11 the engine vibration s']","[1.0, 3.0, 1.0, 2.0]","['gah320a1', 'gemrepmr', 'gemrepnd', 'gah320a1']",nan
eng #1 fan blade no #6 found nick at zone c leading edge,"['examine fan blade #6 for limitation', 'repair nicks on eng #1 fan blade #6 by', 'fluorescent penetrant crack test of the', 'do the test no.11 the engine vibration s']","[1.0, 3.0, 1.0, 2.0]","['gah320a1', 'gemrepmr', 'gemrepnd', 'gah320a1']",nan
eng #1 fan blade no #7 found nick at zone c leading edge,"['examine fan blade #7 for limitation', 'repair nicks on eng #1 fan blade #7 by', 'fluorescent penetrant crack test of the', 'do the test no.11 the engine vibration s']","[1.0, 3.0, 1.0, 2.0]","['gah320a1', 'gemrepmr', 'gemrepnd', 'gah310a1']",nan
eng #1 fire loop bracket crack at 5 o'clock fan case,"['obey all warnings, cautions and notes as', 'remove eng#1 zone 1 r fire detector asse', 'remove fire detector from bracket (suppo', 'do a metal and alloys analysis by spot t', 'do repair fire loop bracket using filler', 'install fire detector to bracket (suppor', 'install eng#1 zone 1 r fire detector ass', 'operational test engine fire and overhea', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gemreplb', 'gemrepwd', 'gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",nan
eng #1 fohe upper mounting overplay,"['obey all warnings, cautions and notes as', 'replace bracket eng#1 fohe', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng #1 fwd mount trunnion found plasma coating chipping,"['obey all of the warnings, cautions, and', 'replace fwd mount support eng#1']","[0.1, 5.0]","['gah310a1', 'gah310a1']",0
eng #1 green edp leak from packing,"['obey all warnings, cautions and notes as', 'depressurize green hydraulic system', 'depressurize reservoir green hydraulic s', 'remove green engine#1 hydraulic - pump', 'clean gearbox mating surface', 'check external gearbox mating surface st', 'install green engine#1 hydraulic - pump', 'check tube installed for satisfactory cl', 'fill green hydraulic reservoir', 'bleeding of green hydraulic system', 'operational test green hydraulic system', 'operational check green engine hydraulic', 'leak check by eng dry motoring', 'inpection check for make sure clogging i', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng #1 idg filling cap lanyard broken 2ea,"['obey all warnings, cautions and notes as', 'replace duct cap if idg eng #1', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng #1 panel 452 al crack at several places,"['remove panel 452 al at eng #1', 'obey all warnings, cautions, and notes a', 'engineering notes', 'drill crack stop hole 4.8 mm (0.189 in)', 'fill by weld the crack and crack stop ho', 'manufacture and setting the doubler', 'weld the doubler using filler rod ams568', 'do general visual inspection to make sur', 'install panel 452 al at eng #1']","[2.0, 0.1, 2.0, 3.0, 4.0, 16.0, 24.0, 2.0, 2.0]","['gah320a1', 'w303', 'w301', 'w301', 'w303', 'w301', 'w303', 'w301', 'gah320a1']",0
eng #1 panel 452 cl rubber seal was tear off,['replace rubber seal at ang #1 panel 452'],[2.0],['gah320a1'],0
eng #1 panel 452 cr errosion,"['obey all warnings, cautions, and notes a', 'do measure the damage', 'do permanent repair on the pylon panel', 'apply a/c exterior paint as existing col']","[0.1, 2.0, 8.0, 2.0]","['w302', 'w302', 'w302', 'w403']",0
eng #1 panel 454 kl rubber seal was tear off,['replace rubber seal panel 454kl'],[2.0],['gah320a1'],0
eng #1 panel 454 mr rubber seal tear off,['replace rubber seal at eng #1 panel 454'],[2.0],['gah320a1'],0
eng #1 pnl 452al crack at 3 places,"['remove panel 452al eng#1', 'obey all of the warnings, cautions and n', 'engineering notes', 'drill crack stop hole 4.8 mm (0.189 in)', 'fill by weld the crack and crack stop ho', 'manufacture and setting the doubler', 'weld the doubler using filler rod ams568', 'do general visual inspection to make sur', 'install panel 452al eng#1']","[3.0, 0.1, 2.0, 3.0, 12.0, 8.0, 12.0, 2.0, 3.0]","['gah310a1', 'w301', 'w301', 'w301', 'w303', 'w301', 'w303', 'w301', 'gah310a1']",ams5680-132:81205 (filler rod ss 347 0.31x36 (ams5680j))
eng #1 precooler area rivet missing 2ea,['replace fastener affected.'],[6.0],['gah310s1'],0
eng #1 precooler need leak check at shop,"['obey all of the warnings, cautions, and', 'remove eng#1 precooler', 'install eng#1 precooler', 'do a test eng#1 precooler', 'do a leak test eng#1 precooler', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 1.0, 1.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng #1 precooler pnl 452 al crack at several place,"['obey all of the warnings, cautions, and', 'remove eng#1 precooler panel', 'do detail visual inspection to damage ar', 'drill crack stop hole 4.8 mm (0.189 in)', 'fill by weld the crack and crack stop ho', 'manufacture the doubler', 'weld the doubler', 'install rivet on the doubler installed o', 'drill crack stop hole 4.8 mm (0.189 in)', 'do welding repair as per pms 01-04-21 fo', 'drill crack stop hole 4.8 mm (0.189 in)', 'do welding repair as per pms 01-04-21 fo', 'install eng #1 precooler panel']","[0.5, 3.0, 3.0, 2.0, 4.0, 10.0, 6.0, 4.0, 2.0, 10.0, 2.0, 10.0, 3.0]","['gah310a1', 'gah310a1', 'w301', 'w301', 'w303', 'w301', 'w303', 'w301', 'w301', 'w303', 'w301', 'w303', 'gah310a1']",0
eng #1 pylon panel 454bl rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #1 pylon panel 454bl rubber', 'obey all warnings, cautions and notes as', 'replace eng #1 pylon panel 454bl rubber']","[0.5, 3.0, 0.5, 3.0]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng #1 pylon panel 454cl corosion,"['remove panel 454cl', 'obey all of the warnings, cautions, and', 'remove fasteners and bonding plate.', 'remove corrosion as per srm 51-74-00.', 'do hfec inspection to ensure no crack', 'do measure remaining thickness to the ar', 'do ultrasonic inspection to measure the', 'perform permanent repair due to damage', 'apply structure paint to the external su', 'install panel 454cl']","[2.0, 0.1, 2.0, 6.0, 4.0, 6.0, 6.0, 8.0, 2.0, 2.0]","['gah310a1', 'w301', 'w301', 'w301', 'w807', 'w301', 'w808', 'w301', 'w403', 'gah310a1']","nas1169c10l:80205 (washer)
37124-00000:gmfdm (aviox primer 37124)
77702-54569:gmfdm (paint grey bac 707 a320)"
eng #1 pylon panel 454cl rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #1 pylon panel 454cl rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #1 pylon panel 454gr rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #1 pylon panel 454gr rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #1 pylon panel 454hr rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #1 pylon panel 454hr rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #1 pylon panel 454mr rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #1 pylon panel 454mr rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #1 pylon pyramid found gouge damaged,"['perform blendout to eliminate damage.', 'measure and define surface area allowabl', 'do hfec inspection to ensure any crack.', 'perform dvi and improve the position of']","[6.0, 4.0, 2.0, 4.0]","['gah330s1', 'gah310s1', 'w807', 'gah310a1']",nan
eng #1 rear pylon 2 ea rivet missing,['eng #1 rear pylon 2 ea rivet missing'],[0.0],['cgk3t3zz'],nan
eng #1 rh c-duct lanyard corrosion 3ea,['replace lanyard'],[2.0],['gah320a1'],0
eng #1 several electrical connector off eec surface corrosion,"['obey all of the warnings, cautions, and', 'do clean up surface corrosion electrical']","[0.1, 4.0]","['gah310e1', 'gah310e1']",nan
eng #1 spinner cone found erosion,"['obey all of the warnings, cautions, and', 'remove eng#1 spinner cone for send to sh', 'remove the polyurethane coating and epox', 'mask the areas not to be painted. apply', 'apply the polyurethane resin coating (om', 'install eng#1 spinner cone', 'restore area back to its serviceable con']","[1.0, 4.0, 4.0, 8.0, 4.0, 4.0, 1.0]","['gah330e1', 'gah310e1', 'gemreppt', 'gemreppt', 'gemreppt', 'gah310e1', 'gah310e1']",0
eng #2 air intake ice protection stuck close,"['replace pressure regulating valve 4000dn', 'do the test', 'do a test of the pressure regulating val', 'do visual inspection to make sure there']","[5.0, 3.0, 3.0, 2.0]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']","65e63-2:72914 (valve, press reg - eng anti ice)
65e63-2:72914 (valve, press reg - eng anti ice)"
eng #2 anti - ice valve electrical connector light corrosion,"['obey all warnings, cautions and notes as', 'do cleaning and remove light corrosion o']","[0.5, 3.0]","['gah310e1', 'gah310e1']",0
eng #2 anti ice exhaust rubber seal tear off,"['obey all warnings, cautions and notes as', 'replace eng#2 thermal anti ice exhaust d', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng #2 aohe  dirty,"['obey all of the warnings, cautions, and', 'do clean up  air/oil heat exchanger-air/', 'restore area back to its serviceable con']","[0.1, 4.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",nan
eng #2 bracket crack 2cm at lp turbine case,"['remove bracket at lp turbine case eng#2', 'obey all warning, note and caution as gi', 'do perform welding the damage area (crac', 'do detail visual inspection to ensure no', 'install bracket at lp turbine case eng#2']","[2.0, 0.1, 8.0, 1.0, 2.0]","['gah310a1', 'w303', 'w303', 'w303', 'gah310a1']",nan
eng #2 cna pos 12 fastener loose 2 ea fwd side,"['obey all warnings, cautions, and notes a', 'perform replacement loose fastener.', 'do visual inspection to verify all proce']","[0.1, 6.0, 2.0]","['w301', 'w301', 'w301']",0
eng #2 cna pos 12 fastener loose 3 ea,"['obey all warnings, cautions, and notes a', 'perform remove fastener.', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 6.0, 6.0, 2.0]","['w301', 'w301', 'w301', 'w301']",0
eng #2 cna pos 12 o'clock fastener loose 5 ea fwd side,"['obey all warnings, cautions, and notes a', 'perform remove fastener.', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 6.0, 6.0, 2.0]","['w301', 'w301', 'w301', 'w301']",0
eng #2 cna pos 12 upper skin surface light corrosion,"['obey all warnings, cautions, and notes a', 'remove light corrosion', 'apply protective treatment']","[0.1, 4.0, 2.0]","['w301', 'w301', 'w301']",0
eng #2 cna strut pos 6 o'clock 20 rivets loose,"['obey all warning, note , and caution as', 'do perform replace rivets loose as locat', 'perform paint rivet head', 'do visual inspection to make sure the re', 'use the 0mat 262a marker to write ""frsy0']","[0.1, 12.0, 3.0, 1.0, 1.0]","['w301', 'w301', 'w403', 'w301', 'w301']","cr3524-5-3:11815 (rivet (cr3524-5-03))
41114-000u-9:d2603 (alexit fst clear coat high gloss 411-14)
11344-1821-n:d2603 (seevenax 113-44)
41122-909g-0-428:d2603 (411-22 white bac 70846)"
eng #2 edp green system cannot depressurized,"['do troubleshoot eng#2 edp cannot depress', 'replace eng#2 hyd pump', 'do bleeding', 'do the operational test of the green hyd', 'do operational test of the green engine', 'do the operational test of the fire shut', 'do a dry motor leak check', 'do inspection/check for make sure that t']","[6.0, 6.0, 6.0, 2.0, 2.0, 2.0, 2.0, 1.0]","['gah320e1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']","u755359:k0378 (nuts (for edp))
974800:k4413 (pump, eng driven (etops))
3022053-001:k4413 (pump, eng driven (etops))
624912:k0378 (seal ring (for edp))
rg1969:k0378 (gasket (for edp))"
eng #2 electrical connector bracket crack 2cm at fan case 6 o'clock,"['obey all of the warnings, cautions, and', 'removal of the eec dedicated alternator', 'remove bracket eec dedicated alternator', 'do a metal and alloys analysis by spot t', 'do repair electrical connector bracket u', 'install bracket of the eec dedicated alt', 'install of the eec dedicated alternator', 'do the fuel and oil leak check - test n°', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gemreplb', 'gemrepwd', 'gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",nan
eng #2 fuel feed clamp rubber seal loose,['do retigthen of clamp'],[1.5],['gah310a1'],nan
eng #2 fwd mount trunnion found plasma coating chipping,"['obey all of the warnings, cautions, and', 'replace fwd mount support eng#2']","[0.1, 5.0]","['gah310a1', 'gah310a1']",0
eng #2 green edp leak from packing,"['obey all warnings, cautions and notes as', 'depressurize green hydraulic system', 'depressurize reservoir green hydraulic s', 'remove green engine#2 hydraulic - pump', 'clean gearbox mating surface', 'check external gearbox mating surface st', 'install green engine#2 hydraulic - pump', 'check tube installed for satisfactory cl', 'fill green hydraulic reservoir', 'bleeding of green hydraulic system', 'operational test green hydraulic system', 'operational check green engine hydraulic', 'leak check by eng dry motoring', 'inpection check for make sure clogging i', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng #2 hydraulic damper bracket fk13740 crack at fan case 10 o clock,"['obey all of the warnings, cautions, and', 'remove bracket hydraulic damper', 'do a metal and alloys analysis by spot t', 'do repair hydraulic damper bracket using', 'install bracket hydraulic damper', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 3.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gemreplb', 'gemrepwd', 'gah310a1', 'gah310a1']",nan
eng #2 idg filling cap lanyard broken 2 ea,"['obey all warnings, cautions and notes as', 'replace duct cap if idg eng #1', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng #2 idg screw qad ring stuck,"['obey all of the warnings, cautions, and', 'remove screw qad ring idg eng#2', 'install screw qad ring idg eng#2', 'restore area back to its serviceable con']","[0.1, 10.0, 2.0, 0.1]","['gemrepzz', 'gemrepmr', 'gemrepzz', 'gemrepzz']",0
eng #2 ignition exciter electrical connector light corrosion,"['obey all of the warnings, cautions and n', 'do clean up connector at eng#2 ignition', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0]","['gah310e1', 'gah310e1', 'gah310e1']",0
eng #2 inner cna pos 06 fasteners missing 3 ea,"['obey all warnings, cautions, and notes a', 'perform remove fastener', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 4.0, 4.0, 1.0]","['w301', 'w301', 'w301', 'w301']",0
eng #2 inner cna pos 12 fasteners loose.,"['obey all the warnings, cautions, and not', 'perform remove fastener', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 6.0, 6.0, 1.0]","['w301', 'w301', 'w301', 'w301']",0
eng #2 lh t/r fireseal tears fwd and aft,"['obey all of the warnings, cautions, and', 'do visual inspection and measure the dam', 'do permanent repair to the eng#2 lh t/r', 'do inspection after repair', 'write the repair ""frsx093"" adjacent to t', 'restore area back to its serviceable con']","[0.1, 2.0, 4.0, 2.0, 2.0, 0.1]","['w301', 'w301', 'w301', 'w301', 'w301', 'w301']",0
eng #2 lower cnao/b side 1 ea rivet missing,['eng #2 lower cnao/b side 1 ea rivet miss'],[0.0],['cgk3t3zz'],nan
eng #2 nosecowl need repaint,"['do repair coating on the surface,,']",[2.0],['w403'],0
eng #2 o/b c-duct pos upper rivet loose 6 ea,['cover by order 805245770'],[0.1],['w301'],nan
eng #2 precooler 462al crack at several place,"['obey all of the warnings, cautions, and', 'remove eng #2 precooler panel', 'do detail visual inspection to damage ar', 'drill crack stop hole 4.8 mm (0.189 in)', 'fill by weld the crack and crack stop ho', 'manufacture the doubler', 'weld the doubler', 'install rivet on the doubler installed o', 'drill crack stop hole 4.8 mm (0.189 in)', 'do welding repair as per pms 01-04-21 fo', 'drill crack stop hole 4.8 mm (0.189 in)', 'do welding repair as per pms 01-04-21 fo', 'install eng #2 precooler panel']","[0.5, 3.0, 3.0, 0.0, 6.0, 4.0, 18.0, 8.0, 8.0, 18.0, 8.0, 18.0, 3.0]","['gah310a1', 'gah310a1', 'w301', 'w301', 'w303', 'w301', 'w303', 'w301', 'w301', 'w303', 'w301', 'w303', 'gah310a1']",0
eng #2 precooler need leak check at shop,"['obey all of the warnings, cautions, and', 'remove eng#2 precooler', 'install eng#2 precooler', 'do a test eng#2 precooler', 'do a leak test eng#2 precooler', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 1.0, 1.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng #2 pylon outboard side rear cna foun,['eng #2 pylon outboard side rear cna foun'],[2.0],['cgk3t3zz'],nan
eng #2 pylon panel 464 hr rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #2 pylon panel 464hr rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #2 pylon panel 464br paint erosion,"['do repair coating on the surface,,']",[10.0],['w403'],0
eng #2 pylon panel 464hl rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #2 pylon panel 464hl rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #2 pylon panel 464ml rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #2 pylon panel 464ml']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #2 pylon panel 464nr corosion,"['remove panel 464nr', 'obey all of the warnings, cautions, and', 'remove fasteners and bonding plate.', 'remove corrosion as per srm 51-74-00.', 'do hfec inspection to ensure no crack', 'do measure remaining thickness to the ar', 'do ultrasonic inspection to measure the', 'perform permanent repair due to damage', 'apply structure paint to the external su', 'install panel 464nr']","[2.0, 0.1, 4.0, 8.0, 2.0, 4.0, 4.0, 12.0, 2.0, 2.0]","['gah310a1', 'w301', 'w301', 'w301', 'w807', 'w301', 'w808', 'w301', 'w403', 'gah310a1']","nas1169c10l:80205 (washer)
37124-00000:gmfdm (aviox primer 37124)
77702-54569:gmfdm (paint grey bac 707 a320)"
eng #2 pylon panel 464nr rubber seal tear off,"['obey all of the warnings, cautions, and', 'replace eng #2 pylon panel 464nr rubber']","[0.5, 3.0]","['gah310a1', 'gah310a1']",0
eng #2 several electrical connectors light corrosion at eec,"['obey all warnings, cautions and notes as', 'do cleaning and remove light corrosion o']","[0.5, 3.0]","['gah310e1', 'gah310e1']",nan
eng #2 spinner cone found erosion,"['obey all of the warnings, cautions, and', 'remove eng#2 spinner cone for send to sh', 'remove the polyurethane coating and epox', 'mask the areas not to be painted. apply', 'apply the polyurethane resin coating (om', 'install eng#2 spinner cone', 'restore area back to its serviceable con']","[1.0, 4.0, 4.0, 8.0, 4.0, 4.0, 1.0]","['gah310a1', 'gah310a1', 'gemreppt', 'gemreppt', 'gemreppt', 'gah310a1', 'gah310a1']",0
