finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
aft cargo spring double latch broken 2 ea,"['obey all of the warnings, cautions, and', 'install new spring']","[0.1, 2.0]","['gah210a1', 'gah210a1']",2914114-1:c1572 (spring),"['gah2', 'gah2']",804781599
aft cargo spring of xz single latch was missing 10ea,"['obey all of the warnings, cautions and n', 'install aft cargo xz-single latch spring', 'do the test of the xz-single latch', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.1]","['gah310a1', 'gah330a1', 'gah330a1', 'gah330a1']",2914114-3:c1572 (spring),"['gah3', 'gah3', 'gah3', 'gah3']",805572945
"aft cargo stud and washer sidewall found bad condition 100 ea , -7 = 50ea, -9 = 20 ea, -11 = 10 ea, -12 = 10 ea, -13 = 10 ea","['obey all warnings, cautions and notes as', 'replace aft cargo stud and washer', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","abs0208-01:fape3 (washer)
abs0336-07:fape3 (stud)
abs0336-09:fape3 (stud)
abs0336-11:fape3 (stud)
abs0336-12:fape3 (stud)
abs0336-13:fape3 (stud)
abs0338-01:fape3 (washer)","['gah3', 'gah3', 'gah3']",805264008
aft cargo stud broken 120 ea (-07:90ea; -12:30ea),"['obey all of the warnings, cautions and n', 'replace aft cargo stud', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","en6115v3-5:i9005 (bolt)
en6115v3-5:i9005 (bolt)
ms21059l3:96906 (nut)
ms21059l3:96906 (nut)
abs0336-07:fape3 (stud)
abs0336-08:fape3 (stud)
abs0336-12:fape3 (stud)
abs0336-12:fape3 (stud)
bacn10jn3cd:81205 (nut)
nsa5472-3k7:f5442 (nut)
asna2538-8:f6198 (nut)
en6114v3-8:i9005 (bolt)
en6114v3-8:i9005 (bolt)","['gah3', 'gah3', 'gah3']",805471904
aft cargo support floor at fr58 end of roller track #14 found corrosion,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove roller tracks for repair access', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'install parts with suitable fasteners,', 'restore surface protection and paint fin', 're-install roller tracks', 'restore area back to its serviceable con']","[1.0, 1.0, 6.0, 16.0, 8.0, 4.0, 16.0, 4.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'w403', 'gah330s1', 'w403', 'gah330a1', 'gah330a1']","ms20426d5-7:fape3 (rivet)
ms20426d5-7:fape3 (rivet)
ms20426d5-7:fape3 (rivet)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
f5348505500200:fape3 (xbeam)
en6081d6-10:i9005 (rivet)
en6081d7-07:i9005 (rivet)
en6081d5-10:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'wspt', 'gah3', 'gah3']",805388510
aft cargo support floor at fr58 end of roller track #17 found corrosion,['covered by mdr 805388510'],[0.1],['gah330a1'],,['gah3'],805388512
aft cargo support floor at fr60 lh side found corrosion,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'damage assessment:', 'remove roller tracks for repair access', 'remove required fasteners around damaged', 'blend out corrosion & do smooth polished', 'do dvi to ensure exact location, and any', 'do hfec inspection to ensure any crack.', 'do rotating probe test to ensure open ho', 'do measurement for initial and remaining', 'perform hfec to ensure corrosion complet', 'engineering note:', 'do dvi to the damage area and surroundin', 're-install fasteners (original size and', 'restore surface protection and paint fin', 'apply corrosion preventive compounds', 'restore area back to its serviceable con', 'engineering note:']","[1.0, 1.0, 1.0, 6.0, 8.0, 6.0, 4.0, 4.0, 4.0, 6.0, 2.0, 1.0, 2.0, 8.0, 4.0, 4.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'gah330s1', 'w807', 'w807', 'w808', 'w807', 'gah330s1', 'gah330s1', 'gah330s1', 'w403', 'w403', 'w403', 'gah330s1']","p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
ms20426d5-7:fape3 (rivet)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
en6081d7-07:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wsnc', 'wsnc', 'wsnc', 'wsnc', 'gah3', 'gah3', 'gah3', 'wspt', 'wspt', 'wspt', 'gah3']",805388508
aft cargo support floor at fr61 lh side found corrosion,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove roller tracks for repair access', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'install parts with suitable fasteners,', 'restore surface protection and paint fin', 're-install roller tracks', 'restore area back to its serviceable con']","[1.0, 1.0, 6.0, 16.0, 8.0, 4.0, 16.0, 4.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'w403', 'gah330s1', 'w403', 'gah330a1', 'gah330a1']","p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
ms20426d5-7:fape3 (rivet)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
f5348609220400:fape3 (cross beam)
en6081d6-10:i9005 (rivet)
en6081d7-07:i9005 (rivet)
en6081d5-10:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'wspt', 'gah3', 'gah3']",805388507
aft cargo support floor at fr62 lh side found corrosion,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove roller tracks for repair access', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'install parts with suitable fasteners,', 'restore surface protection and paint fin', 're-install roller tracks', 'restore area back to its serviceable con']","[1.0, 1.0, 6.0, 16.0, 8.0, 4.0, 16.0, 4.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'w403', 'gah330s1', 'w403', 'gah330a1', 'gah330a1']","ms21059-3:96906 (nut)
ms21059-3:96906 (nut)
p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
ms20426d5-7:fape3 (rivet)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
en6081d4-08:i9005 (rivet)
f5348609223630:fape3 (cross beam)
en6081d6-10:i9005 (rivet)
en6081d7-07:i9005 (rivet)
en6081d5-10:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'wspt', 'gah3', 'gah3']",805388506
aft cargo support floor at fr65 lh side found corrosion,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove roller tracks for repair access', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'install parts with suitable fasteners,', 'restore surface protection and paint fin', 're-install roller tracks', 'restore area back to its serviceable con']","[1.0, 1.0, 6.0, 16.0, 8.0, 4.0, 16.0, 4.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'w403', 'gah330s1', 'w403', 'gah330a1', 'gah330a1']","dan5-6-4:d8518 (pin)
ms21059-3:96906 (nut)
nsa5075-6:f6198 (collar)
p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
en6081d4-08:i9005 (rivet)
f5348609222800:fape3 (crossbeam)
en6081d6-10:i9005 (rivet)
en6081d5-10:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'wspt', 'gah3', 'gah3']",805388502
aft cargo support partition panel 152pw at fr59a found crack,"['obey all warnings, cautions and notes as', 'note :', 'remove sealing strips of the aft cargo-c', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'wet install parts with suitable fastener', 'apply fillet seal', 'install sealing strips of the aft cargo-', 'restore area back to its serviceable con']","[0.5, 1.0, 2.0, 2.0, 8.0, 2.0, 8.0, 2.0, 1.0, 0.5]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'w403', 'gah330s1', 'gah330s1', 'gah330a1', 'gah330a1']","nsa5112-05:f5442 (washer)
pr1828b1-2:0zx56 (sealant (ct 3h))
p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
f5397134100400:fape3 (cover assy)
en6080ad5-13:i9005 (rivet)
en6101ad5-14:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3']",805389462
aft cargo support sidewall 152mw at fr59 found receptacle corrosion,"['read and fully understad the specified m', 'replace the receptacle', 'restore area back to its serviceable con']","[0.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']","ms20426ad3-5:96906 (rivet)
abs0337-01a:fape3 (receptacle)
nsa5075-6:f6198 (collar)
dan7-6-3:d8518 (pin)
dan7-6-7:d8518 (pin)","['gah3', 'gah3', 'gah3']",805432079
aft cargo track #21 proximity sensor and connector fin 1906my12a found broken,"['obey all of the warnings, cautions, and', 'replace proximity sensor', 'replace connector', 'do operational test of the proximity swi', 'restore area back to its serviceable con']","[0.1, 3.0, 3.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","en3646a6083abn:i9005 (connectr (same as en3646a6083afn))
708100-1:c1572 (switch proximity)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805388511
aft cargo track #23 has corrosion,"['obey all warnings, cautions, and notes a', 'damage assessment:', 'remove aft cargo floor panels for repair', 'remove and discard roller track.', 'remove mechanical components.', 'transfer mechanical components to new ro', 'install new roller track with sealant.', 'restore aft cargo floor panels.', 'restore area back to its serviceable con']","[0.1, 1.0, 4.0, 6.0, 6.0, 6.0, 6.0, 4.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","hl70-6:92215 (collar (tbr))
190316-7:c1572 (track)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805576755
aft cargo web post between fr64 and fr65 found crack,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'install parts with suitable fasteners,', 'restore surface protection and paint fin', 'restore area back to its serviceable con']","[1.0, 1.0, 16.0, 8.0, 6.0, 16.0, 4.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'w403', 'gah330s1', 'w403', 'w403']","dan5-6-4:d8518 (pin)
nsa5075-6:f6198 (collar)
p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
en6081d5-06:fape3 (rivet)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
f5348609523600:fape3 (plate shear)
nas1097ke5-8:80205 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'wspt', 'wspt']",805388501
aft cargo xz double latch springs missing 5ea,"['obey all of the warnings, cautions and n', 'install aft cargo xz-double latch spring', 'do the test of the xz-double latch', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.1]","['gah310a1', 'gah330a1', 'gah330a1', 'gah330a1']",2914114-1:c1572 (spring),"['gah3', 'gah3', 'gah3', 'gah3']",805572952
aft cargo xz latch found spring broken 3 ea,"['obey all of the warnings, caution, and n', 'replace aft cargo xz latch spring', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",2914114-3:c1572 (spring),"['gah3', 'gah3', 'gah3']",805376292
aft cargo xz-latch broken 2 ea post fr65. (see pict),"['obey all of the warnings, cautions and n', 'replace aft cargo xz latch', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","2984t100-1:c1572 (latch assy xz single, idn 4920)","['gah3', 'gah3', 'gah3']",805382901
aft coatroom s4l laminate peel off and scratch,"['obey all of warning, cautions, and notes', 'remove laminate aft coatroom s4l', 'install laminate aft coatroom s4l', ""restore area back to it's serviceable co""]","[0.1, 6.0, 6.0, 0.1]","['w401', 'w401', 'w401', 'w401']","velcrop320:gmfdm (abrasive paper 5' grade 320)
1357-3m:70210 (solvent based contact adhesive - 3m)
s5322:21213 (laminate aic 3.25 medium text. non psa)","['wscb', 'wscb', 'wscb', 'wscb']",805495206
aft fairing pylon #1 bolt broken at fwd side 6ea,"['obey all of the warnings, cautions, and', 'replace bolt', 'restore area back to its serviceable con']","[0.1, 1.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']",nas6603-6:80205 (bolt),"['gah3', 'gah3', 'gah3']",805382725
aft fairing pylon #1 found fasteners loose 10ea,"['read and fully understad the specified m', 'remove loosed fasteners.', 'install bolt blind protruding self-locki', 'damage assessment :', 'restore area back to its serviceable con']","[0.1, 4.0, 8.0, 1.0, 0.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1']",asna0082-204:f5442 (bolt),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805382728
aft fairing pylon #1 found rivets loose 7ea at teflon list,"['read and fully understad the specified m', 'replace loosed fasteners.', 'restore area back to its serviceable con']","[0.1, 4.0, 0.0]","['gah330s1', 'gah330s1', 'gah330s1']",nsa5449-24-2:fape3 (rivet-blind),"['gah3', 'gah3', 'gah3']",805382726
aft fairing pylon #2 found fasteners loose 10ea,"['obey all warnings, cautions, and notes a', 'remove loose fasteners', 'install new fasteners', 'restore area back to its serviceable con']","[1.0, 12.0, 12.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330s1']",asna0082-204:f5442 (bolt),"['gah3', 'gah3', 'gah3', 'gah3']",805382918
aft fairing pylon #2 found rivets loose 7ea at teflon list,"['obey all warnings, cautions, and notes a', 'remove loose fasteners', 'install new fasteners', 'restore area back to its serviceable con']","[1.0, 12.0, 12.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330s1']","nsa5449-24-2:fape3 (rivet-blind)
nsa5449-24-2:fape3 (rivet-blind)","['gah3', 'gah3', 'gah3', 'gah3']",805382919
aft fcrc laminate peel off and ex touch up,"['general :', 'relaminate surface of aft fcrc', 'restore area back to its serviceable con']","[0.0, 12.0, 0.0]","['w401', 'w401', 'w401']","1357-3m:70210 (solvent based contact adhesive - 3m)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
s5322:21213 (laminate aic 3.25 medium text. non psa)","['wscb', 'wscb', 'wscb']",805493974
aft galley g4 unit r/h side lower kick panel detached,"['general:', 're-install kick strip galley 4rh', 'restore area back to its serviceable con']","[0.1, 1.0, 0.0]","['w401', 'w401', 'w401']","rtv732white:71984 (multi purpose sealant white,90 ml (trp))","['wscb', 'wscb', 'wscb']",805423757
aft galley interphone handset assy not proper install,"['obey all of the warnings, cautions, and', 'install properly handset and handset cra', 'do the interface and power-up test of th', 'do the system test of the smoke detectio', 'do the operational test of handset cradl', 'restore area back to its serviceable con']","[0.1, 1.5, 0.8, 0.5, 1.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805482593
aft moun pin g7121005020000 found corroded 3ea,"['obey all of the warnings, cautions, and', 'replace aft mount pin', 'restore area back to its serviceable con']","[0.1, 6.0, 0.1]","['gah320a1', 'gah320a1', 'gah320a1']","ms24665-302:96906 (pin)
g7121005020000:f6198 (pin rm)
nsa5060l6b:f6198 (nut)","['gah3', 'gah3', 'gah3']",805519525
aft trim wall communication l72 corrosion,"['general:', 'fabricate trim aft wall door communicati', 'cut the corroded part as mentioned in do', 'install new part of trim aft door commun', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 3.0, 0.0]","['w303', 'w303', 'w401', 'w401', 'w401']",scotch-weld-ec-9300bafst:04963 (adhesive 3m),"['wsst', 'wsst', 'wscb', 'wscb', 'wscb']",805523862
aft waste tank vent hole corrosion btw fr76-fr77,"['read and fully understad the specified m', 'note :', 'removal access for repair', 'remove existing doubler.', 'do detailed visual inspection at waste v', 'prepare repair doubler and setting part', 'apply wash primer and primer polyurethan', 'install parts with suitable fasteners', 'apply fillet sealant to edges of doubler', 'apply structure paint, and topcoat finis', 'apply storage preservation to the repair', 'restore access after repair', 'repair inspection note :']","[0.1, 1.0, 5.0, 5.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 0.0, 5.0, 0.0]","['gah330s1', 'gah320s1', 'gah320c1', 'gah320s1', 'gah320s1', 'gah320s1', 'w403', 'gah320s1', 'gah320s1', 'w403', 'gah320c1', 'gah320c1', 'gah320s1']","dan6-6-4:d8518 (pin)
dan6-6-4:d8518 (pin)
dan6-6-4:d8518 (pin)
hl11vf6-5:92215 (hi-lok (tbr))
hl70-6:92215 (collar (tbr))
hl11vf6-3:73197 (hi-lock / pin (tbr))
dan6-6-3:d8518 (pin)
ams4462-100:qa251 (al-clad plate 2024-t3, size 100x48x144)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'gah3']",805264555
after engine #2 opening for bsi found precooler lower left & right leak,"['obey all of the warnings, cautions and n', 'remove the bleed-air precooler none exch', 'install the bleed-air precooler none exc', 'do leak test of the bleed-air precooler', 'do the applicable tests for rear duct hp', 'do the air duct leak check', 'restore area back to its serviceable con']","[0.5, 3.0, 4.0, 1.0, 1.0, 1.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']","as1895-7-600:81205 (e-seal (as as1895/7-600))
71075a010001:fape3 (exchanger-precooler)
ms24665-389:96906 (cotter pins)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805601436
after performed engine ground run found fuel leak from apu fuel drain mast,"['obey all of the warnings, cautions, and', 'do leak test of the trim tank transfer l', 'replace packing on the fuel transfer hos', 'do leak test', 'restore area back to its serviceable con']","[0.1, 3.0, 3.0, 3.0, 0.5]","['gah210a1', 'gah210a1', 'gah210a1', 'gah210a1', 'gah210a1']","abs0734-226:fape3 (packing)
nsa8203-152:f5442 (oring)
nsa8203-234:f6198 (oring)","['gah2', 'gah2', 'gah2', 'gah2', 'gah2']",804779409
after remove trim lav 72 & 75 found corrotion,"['obey all of warning, cautions, and notes', 'remove trim lavatory l72', 'remove trim extrussion lavatory l75', 'install trim lavatory l72', 'install trim extrussion lavatory l75', ""restore area back to it's serviceable co""]","[0.1, 1.0, 2.0, 1.0, 2.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1', 'gah320c1', 'gah320c1', 'gah320c1']","lq7-7a6-388-8h4:62225 (cover)
m18-4a0-6l4-7g2:62225 (cover)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805501684
after restoration ceiling need tape for secure the stud at aft cargo,"['obey all of the warnings, caution, and n', 'completed tape', 'obey all warnings, cautions and notes as', 'apply the tape for secure the stud at af', 'restore area back to its serviceable con']","[0.1, 1.0, 0.5, 3.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",398fr4inch:76381 (flame retardant sealing tape (4 inch)),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805424536
air chiller g4r found intermittent,"['obey all of the warnings, cautions, and', 'do troubleshoot of the air chiller galle', 'remove the air chiller unit', 'install the air chiller unit', 'do operational test of the air chiller', 'restore area back to its serviceable con']","[0.1, 1.0, 1.5, 1.5, 1.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1', 'gah320c1', 'gah320c1', 'gah320c1']",267-100:60299 (air chiller),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805322447
air con vent lock missing pos l36,"['obey all of the warnings, cautions, and', 'remove the air conditioning vent of lava', 'install the air conditioning vent of lav', 'restore area back to its serviceable con']","[0.1, 1.0, 1.5, 0.1]","['gah320c1', 'gah320c1', 'gah320c1', 'gah320c1']",9xx620561-02:d8095 (outlet-air individual),"['gah3', 'gah3', 'gah3', 'gah3']",805286305
air condition hose at upper module lavatory l36 found not install properly,"['obey all of the warnings, cautions, and', 'do proper installation of air ventilatio', 'restore area back to its serviceable con']","[0.1, 0.5, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3']",805430079
air extraction filter all lav,['air extraction filter all lav'],[1.0],['gah210c1'],,['gah2'],804693558
air grill fr 42-43 found broke,"['obey all of the warnings, cautions, and', 'do removal the cover air outlet (airgril', 'repair air grill', 'repair paint air grill by touch up', 'do installation the serviceable covers a', 'restore area back to its serviceable con']","[0.2, 1.0, 3.0, 1.0, 1.0, 0.2]","['gah330c1', 'gah310c1', 'w401', 'w103', 'gah310c1', 'gah310c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop400:gmfdm (abrasive paper 5' grade 400)
120-volan:04621 (glass fiber bms 9-3 tyd cl7 st120 38"")
34657-9185-7:d2603 (alexit int paint aic 2.8 grey cloud)
ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805389413
"air grill l11,l35, l36, l54, l61,l62,l74,l53 and door latch lock l11,l61,l62,l53,l54 found bad painting","['general :', 'repair surface of air grill post. l11, l', 'paint air grill post. l11, l35, l36, l54', 'restore area back to its serviceable con']","[0.0, 10.0, 10.0, 0.0]","['w401', 'w401', 'w103', 'w103']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
90062-0000-0-006:d2603 (alexit verdunner 62)
40412-9006-7:fape3 (alexit int paint aic 9.10 silver)
40500-0000-0:d2603 (alexit hardener 400)
34360-9110-3:d2603 (alexit fst 343-60 filler white)","['wscb', 'wscb', 'wsss', 'wsss']",805496384
air intake cowl eng #2 aerodynamic sealant damage on edge inner and outer lipskin,"['obey all warnings, cautions, and notes a', 'do prepare and clean the repair area', 'do primer application to the repair area', 'prepare and apply aerodynamic sealant to', 'do visual inspection to the repair area', 'do repair identification', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 4.0, 2.0, 2.0, 0.1]","['w301', 'w301', 'w301', 'w301', 'w301', 'w301', 'w301']",silcoset152:k7652 (adhesive sealant),"['wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst']",805375106
air intake cowl eng #2 found puncture on lower inner barrel panel surface,"['obey all of the warnings, cautions, and', 'do detailed visual inspection and measur', 'do tap test inspection to the damage are', 'do permanent repair to the damage area', 'do a visual inspection to make sure that', 'record the repair procedure performed', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 6.0, 2.0, 2.0, 0.1]","['w302', 'w302', 'w302', 'w302', 'w302', 'w302', 'w302']",ea934na:33564 (epoxy resin (spec as9174016)),"['wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst']",805375116
air intake cowl eng #2 panel screw 421ar found stuck 14ea,"['obey all warnings, cautions and notes as', 'remove screw stuck', 'install new screw at panel 421ar eng#2', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 0.5]","['gah310s1', 'gah310s1', 'gah310a1', 'gah310a1']","nas7204u4:80205 (bolt)
nas7204u4:80205 (bolt)","['gah3', 'gah3', 'gah3', 'gah3']",805375161
air pressure units green 5240jm2 filter found pop out,"['obey all of the warnings, caution, and n', 'do servicing of the filter element of th', 'do test pressurization of the hydraulic', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","402b8-4:f0218 (filter)
nas1612-32:80205 (packing)
ms-snoop-8oz:0zla5 (liquid leak detector alt. mil-prf-25567d)
fi0486-1:f6198 (o-ring)","['gah3', 'gah3', 'gah3', 'gah3']",805462364
aircraft exterior cleaning,"['preparation', 'procedure', 'finishing']","[5.0, 20.0, 5.0]","['gah210c1', 'gah210c2', 'gah210c2']","solphy-2:gmfdm (solvent (pertamina) cleaning)
see-thru:gmfdm (glass cleaner & paint ink stain remover)
superbee-210:71361 (exterior dry wash / wet wash cleaner)","['gah2', 'gah2', 'gah2']",804693579
"airgrill broken z.al1, z.br3, z.br16","['obey all of the warnings, cautions, and', 'do removal of the closing covers (air ou', 'repair air grill at defect area', 'repair paint grill at repaired area', 'do installation of the closing covers (a', 'restore area back to its serviceable con']","[0.1, 0.5, 2.0, 1.0, 1.0, 0.1]","['gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1']","ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))
34655-9006-7:fape3 (alexit int paint aic 9.10 silver)
34557-0000-0-009:21213 (alexit hardener 345-57)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805433867
aisle c1l laminate found peel off,"['general :', 'relaminate aisle c1l', 'restore area back to its serviceable con']","[0.0, 12.0, 0.0]","['w401', 'w401', 'w401']","1357-3m:70210 (solvent based contact adhesive - 3m)
s015395:gmfdm (laminate aic 82.7 mesa tex. non psa)","['wscb', 'wscb', 'wscb']",805495242
aisle c1r laminate found scratch and den,"['general :', 'repair dent on aisle c1r', 'relaminate aisle c1r', 'restore area back to its serviceable con']","[0.0, 1.0, 12.0, 0.0]","['w401', 'w401', 'w401', 'w401']","1357-3m:70210 (solvent based contact adhesive - 3m)
ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))
s015395:gmfdm (laminate aic 82.7 mesa tex. non psa)","['wscb', 'wscb', 'wscb', 'wscb']",805495244
aisle fcrc laminate peel off,"['general :', 'relaminate surface of aisle fcrc', 'restore area back to its serviceable con']","[0.0, 12.0, 0.0]","['w401', 'w401', 'w401']","1357-3m:70210 (solvent based contact adhesive - 3m)
s5322:21213 (laminate aic 3.25 medium text. non psa)","['wscb', 'wscb', 'wscb']",805493975
all aft side armrest aisle paint peel of,"['obey all of the warnings, cautions, and', 'repair all aft side armrest aisle of eco', 'repaint all aft side armrest aisle of ec', 'restore area back to its serviceable con']","[0.1, 128.0, 64.0, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-71ya-7-278:d2603 (alexit int paint pantone 2u warm grey)","['wsss', 'wsss', 'wsss', 'wsss']",805263423
all air filter lavatory found dirty,"['obey all of the warnings, cautions, and', 'do replacement of the lavatory air-extra', 'restore area back to its serviceable con']","[0.1, 5.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",p15-350s:d2480 (filter),"['gah3', 'gah3', 'gah3']",805570007
all aisle carpet found bad condition,"['obey all of the warnings, cautions, and', 'do removal of the aisle cabin carpet', 'do installation of the aisle cabin carpe', 'restore area back to its serviceable con']","[0.1, 8.0, 8.5, 0.1]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']","5bww3367:gmfdm (light weight carpet)
relink2318b:d4296 (double - sided tape)","['gah3', 'gah3', 'gah3', 'gah3']",805435626
