finding_description,action_taken,work_centre,materials_required,man_hours
ENG #1 CNA ZONE 3 FIRE SEAL INNER ANNULUS FOUND WEAR POSITION AT RH SIDE 12 O CLOCK,INSTALL THE SEAL.,W301,DAN40R12D:FAPE3 (TUBE),0
ENG #1 CNA ZONE 3 FIRE SEAL INNER ANNULUS FOUND WEAR POSITION AT RH SIDE 12 O CLOCK,FILL THE GAPS.,W301,,0
ENG #1 CNA ZONE 3 FIRE SEAL INNER ANNULUS FOUND WEAR POSITION AT RH SIDE 12 O CLOCK,RESTORE AREA BACK TO ITS SERVICEABLE CON,W301,NAS1611-043:80205 (PACKING),0
"COVER LOWER LOCK DOOR MECH COCKPIT FOUND BROKEN AND SCREW, WASHER, CAP LOCK NOT INSTALL","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,,0
"COVER LOWER LOCK DOOR MECH COCKPIT FOUND BROKEN AND SCREW, WASHER, CAP LOCK NOT INSTALL",DO INSTALLATION THE SERVICEABLE COVER RO,GAH320C1,"267-100:60299 (AIR CHILLER)
PS1140-10:C6182 (TRANSFORMER)",0
"COVER LOWER LOCK DOOR MECH COCKPIT FOUND BROKEN AND SCREW, WASHER, CAP LOCK NOT INSTALL",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"267-100:60299 (AIR CHILLER)
PS1140-10:C6182 (TRANSFORMER)",0
"COVER SEAT NUMBER CRACK POSITION : FWD 26DE, FWD 27AB, 31AB, 32AB,35AB,37AB,40DF,37DF,30FG,33FG,37FG,39FG,37KJ,35KJ,34KJ,28KJ,27KJ,FW D 27KJ, AFT 25KJ,25KJ,23KJ,18KJ,19AB,16AB,10AB,4DE,1DE,2DE,FWD 2DE,4DE,4KJ,1KJ,2KJ (35EA)","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"267-100:60299 (AIR CHILLER)
PS1140-10:C6182 (TRANSFORMER)",0
"COVER SEAT NUMBER CRACK POSITION : FWD 26DE, FWD 27AB, 31AB, 32AB,35AB,37AB,40DF,37DF,30FG,33FG,37FG,39FG,37KJ,35KJ,34KJ,28KJ,27KJ,FW D 27KJ, AFT 25KJ,25KJ,23KJ,18KJ,19AB,16AB,10AB,4DE,1DE,2DE,FWD 2DE,4DE,4KJ,1KJ,2KJ (35EA)",DO REPLACEMENT THE STRIP COVER OF HANDRA,GAH320C1,"267-100:60299 (AIR CHILLER)
PS1140-10:C6182 (TRANSFORMER)",1
"COVER SEAT NUMBER CRACK POSITION : FWD 26DE, FWD 27AB, 31AB, 32AB,35AB,37AB,40DF,37DF,30FG,33FG,37FG,39FG,37KJ,35KJ,34KJ,28KJ,27KJ,FW D 27KJ, AFT 25KJ,25KJ,23KJ,18KJ,19AB,16AB,10AB,4DE,1DE,2DE,FWD 2DE,4DE,4KJ,1KJ,2KJ (35EA)",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"267-100:60299 (AIR CHILLER)
PS1140-10:C6182 (TRANSFORMER)",1.5
BONDING CABLE WASTELINE TUBE UNDER L54 FOUND TEAR OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,RDAX6421-51:0U308 (UNIT),1
BONDING CABLE WASTELINE TUBE UNDER L54 FOUND TEAR OFF,DO REPLACEMENT ELECTRICAL BONDING OF WAS,GAH320C1,"271-200-025-304:S3960 (EIVMU)
PCU5000MK5:K0680 (POWER CONTROLLER UNIT)",0
BONDING CABLE WASTELINE TUBE UNDER L54 FOUND TEAR OFF,DO ELECTRICAL RESISTANCE MEASUREMENT,GAH320C1,"271-200-025-304:S3960 (EIVMU)
PCU5000MK5:K0680 (POWER CONTROLLER UNIT)",0
BONDING CABLE WASTELINE TUBE UNDER L54 FOUND TEAR OFF,APPLY FINAL BONDING PROTECTION,GAH320C1,"271-200-025-304:S3960 (EIVMU)
PCU5000MK5:K0680 (POWER CONTROLLER UNIT)",0
BONDING CABLE WASTELINE TUBE UNDER L54 FOUND TEAR OFF,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,,0
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",0
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,DO SPECIAL PRECAUTION BEFORE WORK ON THE,GAH320C1,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",10
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,REMOVE THE DOOR LINING PANEL FIN 831AZ F,GAH320C1,,3
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,REPAIR DOOR LINING,W401,,8
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,PAINT DOOR LINING,W103,,1
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,INSTALL THE DOOR LINING PANEL FIN 831AZ,GAH320C1,,3
LOWER LINING D1 LH CRACK (PANEL BEHIND SLIDERAFT)FIN 831AZ,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,P0723-103W:57399 (ADULT LIFE VEST),0
"BUSHING SAFETY PIN MISSING D1LH, D1RH, D2LH, D2RH, D4LH, D4RH","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,P0723-103W:57399 (ADULT LIFE VEST),3
"BUSHING SAFETY PIN MISSING D1LH, D1RH, D2LH, D2RH, D4LH, D4RH",INSTALL BUSHING OF THE SAFETY PIN,GAH320C1,P0723-103W:57399 (ADULT LIFE VEST),1
"BUSHING SAFETY PIN MISSING D1LH, D1RH, D2LH, D2RH, D4LH, D4RH",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,P0723-103W:57399 (ADULT LIFE VEST),0.5
ALL DOORS COVER ASSIST HANDLE ASSY NOT PROPER INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,,0
ALL DOORS COVER ASSIST HANDLE ASSY NOT PROPER INSTALL,INSTALL PROPERLY THE COVER UPPER ASSIST,GAH320C1,,5
ALL DOORS COVER ASSIST HANDLE ASSY NOT PROPER INSTALL,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"D2527076200200:FAPE3 (HANDLE)
A2527576120400:FAPE3 (HANDLE)",0
WASHER & SCREW SCUFFPLATE ALL DOORS COROSION,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"D2527076200200:FAPE3 (HANDLE)
A2527576120400:FAPE3 (HANDLE)",1
WASHER & SCREW SCUFFPLATE ALL DOORS COROSION,REPLACE THE SCREW AND WASHER OF PASSENGE,GAH320C1,"430154:K0680 (EXCITER, IGNITION)",0
WASHER & SCREW SCUFFPLATE ALL DOORS COROSION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,,0
PRESSURE DOOR DAMPER D1RH AND D1LH YELLOW BAND,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,,1.2
PRESSURE DOOR DAMPER D1RH AND D1LH YELLOW BAND,DO SPECIAL PRECAUTIONS BEFORE WORK ON TH,GAH320C1,1002993-001CAJ:92802 (ARMCAP ASY),0
PRESSURE DOOR DAMPER D1RH AND D1LH YELLOW BAND,DO CHARGING THE DAMPER OF DOOR 1LH AND 1,GAH320C1,1002993-001CAJ:92802 (ARMCAP ASY),0.2
PRESSURE DOOR DAMPER D1RH AND D1LH YELLOW BAND,DO LEAK TEST OF THE DOOR DAMPER OF DOOR,GAH320C1,SP21651L:24403 (ULTRALOC),1
PRESSURE DOOR DAMPER D1RH AND D1LH YELLOW BAND,DO SPECIAL PRECAUTIONS AFTER WORK ON THE,GAH320C1,"430154:K0680 (EXCITER, IGNITION)",0
PRESSURE DOOR DAMPER D1RH AND D1LH YELLOW BAND,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"D61779-3:U1598 (WASHER 3,18MM(0.1252IN) THICK)",4
"STUD MISING, NEED STUD -5 10EA, -7 10EA","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,,0
"STUD MISING, NEED STUD -5 10EA, -7 10EA",INSTAL THE STUD OF DOOR FRAME LINING PAN,GAH320C1,267-100:60299 (AIR CHILLER),0
"STUD MISING, NEED STUD -5 10EA, -7 10EA",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,267-100:60299 (AIR CHILLER),0
DOOR FRAME D4LH AFT D4RH AFT PAINT PEEL OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,267-100:60299 (AIR CHILLER),2
DOOR FRAME D4LH AFT D4RH AFT PAINT PEEL OFF,REMOVE THE DOOR LINING PANEL FIN 833EZ A,GAH320C1,267-100:60299 (AIR CHILLER),0
DOOR FRAME D4LH AFT D4RH AFT PAINT PEEL OFF,"REPAIR DOOR FRAME LINING POST. D4LH AFT,",W401,"J540AI6:D1227 (VALVE)
NAS1612-8A:80205 (PACKING)
RDFA6363-02:0FF57 (IN USE LIGHT ASSY)
1303-46:21562 (UNIT-MASTER CONT)
30-2581-3:72914 (L I G H T)
785840-4:F0553 (COMPUTER, BMC (ETOPS))
64300-210:28856 (AIRMAN 750 HEADSET/760 HEADPHONE)
1982660116:F9111 (DISPLAY MGT COMPUTER)
C12848DB01:F9111 (RADIO MANAGEMENT PANEL (RMP))
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
62197-001-001:D2249 (WATER BOILER)
1-002-0102-1830:10933 (INVERTER-STATIC)
8922-12-0000-01:D2249 (WARMING OVEN)
8922-12-0000-01:D2249 (WARMING OVEN)
65E63-2:72914 (VALVE, PRESS REG - ENG ANTI ICE)
740GA01Y02:F0214 (ECMU)
8ES455438-07:D8095 (POWER SUPPLY UNIT)
8ES455440-06:D8095 (POWER SUPPLY UNIT)
977C0000-05:F1958 (CONTROLLER, PACK TEMP)
AR9013-5W2D102:80477 (FAUCET-WATER)
RDFA2051-01:0FF57 (UNIT ASSY)
RDFA3024-02:0FF57 (SEAT ELECTRONIC BOX)
RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51))
RDFW8795-51:0FF57 (LCD MONITOR)
LA2E50700100000:F6198 (SYST DATA ACQUISTION CONCENTRATOR (SDAC))
401MFD3-2:K5294 (DCDU, DATALINK CONTROL & DISPLAY UNIT)
267-100:60299 (AIR CHILLER)
0154LF:K5459 (PROBE, P27T2)
1320A0000-01:F1958 (VALVE, TRIM AIR)
4298117:F0280 (LIGHT-TAKE OFF AND TAXI, IDN 4)
600-1:60299 (CHILLER, WINE)
85-16-12022-05:81205 (MICROPHONE-HAND)
740GA01Y03:F0214 (ECMU)
N40-1C40203-102:D9240 (HANDSET ASSY-CABIN)",0
DOOR FRAME D4LH AFT D4RH AFT PAINT PEEL OFF,"PAINT DOOR FRAME LINING POST. D4LH AFT,",W103,"J540AI6:D1227 (VALVE)
NAS1612-8A:80205 (PACKING)
RDFA6363-02:0FF57 (IN USE LIGHT ASSY)
1303-46:21562 (UNIT-MASTER CONT)
30-2581-3:72914 (L I G H T)
785840-4:F0553 (COMPUTER, BMC (ETOPS))
64300-210:28856 (AIRMAN 750 HEADSET/760 HEADPHONE)
1982660116:F9111 (DISPLAY MGT COMPUTER)
C12848DB01:F9111 (RADIO MANAGEMENT PANEL (RMP))
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
62197-001-001:D2249 (WATER BOILER)
1-002-0102-1830:10933 (INVERTER-STATIC)
8922-12-0000-01:D2249 (WARMING OVEN)
8922-12-0000-01:D2249 (WARMING OVEN)
65E63-2:72914 (VALVE, PRESS REG - ENG ANTI ICE)
740GA01Y02:F0214 (ECMU)
8ES455438-07:D8095 (POWER SUPPLY UNIT)
8ES455440-06:D8095 (POWER SUPPLY UNIT)
977C0000-05:F1958 (CONTROLLER, PACK TEMP)
AR9013-5W2D102:80477 (FAUCET-WATER)
RDFA2051-01:0FF57 (UNIT ASSY)
RDFA3024-02:0FF57 (SEAT ELECTRONIC BOX)
RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51))
RDFW8795-51:0FF57 (LCD MONITOR)
LA2E50700100000:F6198 (SYST DATA ACQUISTION CONCENTRATOR (SDAC))
401MFD3-2:K5294 (DCDU, DATALINK CONTROL & DISPLAY UNIT)
267-100:60299 (AIR CHILLER)
0154LF:K5459 (PROBE, P27T2)
1320A0000-01:F1958 (VALVE, TRIM AIR)
4298117:F0280 (LIGHT-TAKE OFF AND TAXI, IDN 4)
600-1:60299 (CHILLER, WINE)
85-16-12022-05:81205 (MICROPHONE-HAND)
740GA01Y03:F0214 (ECMU)
N40-1C40203-102:D9240 (HANDSET ASSY-CABIN)",0
DOOR FRAME D4LH AFT D4RH AFT PAINT PEEL OFF,INSTALL THE DOOR LINING PANEL FIN 833EZ,GAH320C1,"J540AI6:D1227 (VALVE)
NAS1612-8A:80205 (PACKING)
RDFA6363-02:0FF57 (IN USE LIGHT ASSY)
1303-46:21562 (UNIT-MASTER CONT)
30-2581-3:72914 (L I G H T)
785840-4:F0553 (COMPUTER, BMC (ETOPS))
64300-210:28856 (AIRMAN 750 HEADSET/760 HEADPHONE)
1982660116:F9111 (DISPLAY MGT COMPUTER)
C12848DB01:F9111 (RADIO MANAGEMENT PANEL (RMP))
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
62197-001-001:D2249 (WATER BOILER)
1-002-0102-1830:10933 (INVERTER-STATIC)
8922-12-0000-01:D2249 (WARMING OVEN)
8922-12-0000-01:D2249 (WARMING OVEN)
65E63-2:72914 (VALVE, PRESS REG - ENG ANTI ICE)
740GA01Y02:F0214 (ECMU)
8ES455438-07:D8095 (POWER SUPPLY UNIT)
8ES455440-06:D8095 (POWER SUPPLY UNIT)
977C0000-05:F1958 (CONTROLLER, PACK TEMP)
AR9013-5W2D102:80477 (FAUCET-WATER)
RDFA2051-01:0FF57 (UNIT ASSY)
RDFA3024-02:0FF57 (SEAT ELECTRONIC BOX)
RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51))
RDFW8795-51:0FF57 (LCD MONITOR)
LA2E50700100000:F6198 (SYST DATA ACQUISTION CONCENTRATOR (SDAC))
401MFD3-2:K5294 (DCDU, DATALINK CONTROL & DISPLAY UNIT)
267-100:60299 (AIR CHILLER)
0154LF:K5459 (PROBE, P27T2)
1320A0000-01:F1958 (VALVE, TRIM AIR)
4298117:F0280 (LIGHT-TAKE OFF AND TAXI, IDN 4)
600-1:60299 (CHILLER, WINE)
85-16-12022-05:81205 (MICROPHONE-HAND)
740GA01Y03:F0214 (ECMU)
N40-1C40203-102:D9240 (HANDSET ASSY-CABIN)",0
DOOR FRAME D4LH AFT D4RH AFT PAINT PEEL OFF,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"J540AI6:D1227 (VALVE)
NAS1612-8A:80205 (PACKING)
RDFA6363-02:0FF57 (IN USE LIGHT ASSY)
1303-46:21562 (UNIT-MASTER CONT)
30-2581-3:72914 (L I G H T)
785840-4:F0553 (COMPUTER, BMC (ETOPS))
64300-210:28856 (AIRMAN 750 HEADSET/760 HEADPHONE)
1982660116:F9111 (DISPLAY MGT COMPUTER)
C12848DB01:F9111 (RADIO MANAGEMENT PANEL (RMP))
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
G540DA72:D1227 (SEPARATOR-WASTE, IDN 492189)
62197-001-001:D2249 (WATER BOILER)
1-002-0102-1830:10933 (INVERTER-STATIC)
8922-12-0000-01:D2249 (WARMING OVEN)
8922-12-0000-01:D2249 (WARMING OVEN)
65E63-2:72914 (VALVE, PRESS REG - ENG ANTI ICE)
740GA01Y02:F0214 (ECMU)
8ES455438-07:D8095 (POWER SUPPLY UNIT)
8ES455440-06:D8095 (POWER SUPPLY UNIT)
977C0000-05:F1958 (CONTROLLER, PACK TEMP)
AR9013-5W2D102:80477 (FAUCET-WATER)
RDFA2051-01:0FF57 (UNIT ASSY)
RDFA3024-02:0FF57 (SEAT ELECTRONIC BOX)
RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51))
RDFW8795-51:0FF57 (LCD MONITOR)
LA2E50700100000:F6198 (SYST DATA ACQUISTION CONCENTRATOR (SDAC))
401MFD3-2:K5294 (DCDU, DATALINK CONTROL & DISPLAY UNIT)
267-100:60299 (AIR CHILLER)
0154LF:K5459 (PROBE, P27T2)
1320A0000-01:F1958 (VALVE, TRIM AIR)
4298117:F0280 (LIGHT-TAKE OFF AND TAXI, IDN 4)
600-1:60299 (CHILLER, WINE)
85-16-12022-05:81205 (MICROPHONE-HAND)
740GA01Y03:F0214 (ECMU)
N40-1C40203-102:D9240 (HANDSET ASSY-CABIN)",0
INFO SIGN DOOR FRAME D2LH BLUR.,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"3741454,55208333 (BOTTLE, CREW OXYGEN)
891511-14:53655 (BOTTLE, CREW OXYGEN)",0
INFO SIGN DOOR FRAME D2LH BLUR.,DO REPLACEMENT OF THE FASTEN SEAT BELT S,GAH320C1,8GH005597-12:D8095 (LAMP),0
INFO SIGN DOOR FRAME D2LH BLUR.,DO THE TEST OF CABIN SIGNS VIA MCDU,GAH320C1,,0.1
INFO SIGN DOOR FRAME D2LH BLUR.,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"YTLV180270C1860:86735 (ROLL ON LINEAR BEARING)
B1835A04010L:86735 (SCREW - SOCKET CSK)
NAS1351C3LB8P:92802 (SCREW - SOCKET CAP HD)",0
COVER SLIDING WINDOW VIEW D2 RH BROKEN (FIN 841EZ) AND CRACK (FIN 842 EZ),"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"YTLV180270C1860:86735 (ROLL ON LINEAR BEARING)
B1835A04010L:86735 (SCREW - SOCKET CSK)
NAS1351C3LB8P:92802 (SCREW - SOCKET CAP HD)",1.5
COVER SLIDING WINDOW VIEW D2 RH BROKEN (FIN 841EZ) AND CRACK (FIN 842 EZ),REMOVE THE DOOR LINING PANEL FIN 842EZ F,GAH320C1,"E0217XXU006A:F5442 (RELAY)
964A0000-06:F1958 (VALVE-FLOW CONTROL)
977C0000-07:F1958 (CONTROLLER, PACK TEMP)",4
COVER SLIDING WINDOW VIEW D2 RH BROKEN (FIN 841EZ) AND CRACK (FIN 842 EZ),REPAIR COVER SLIDING WINDOW VIEW,W401,"J221P148:07482 (PACKING-PREFORMED O-RING)
M83485-1-008:81349 (PACKING)
BACB30NN3K5:81205 (BOLT, EO B3/M57-30-0309)
BACB30NN3K5:81205 (BOLT, EO B3/M57-30-0309)
A5211123620000:FAPE3 (SPRING)
NSA9117M7D:D4296 (PLATE)
NSA9117M7D:D4296 (PLATE)",0
COVER SLIDING WINDOW VIEW D2 RH BROKEN (FIN 841EZ) AND CRACK (FIN 842 EZ),PAINT WITH AIC 3.25,W103,LA2E90606HM0100:F6198 (CONT PANEL ECAM IDN 491069),0
COVER SLIDING WINDOW VIEW D2 RH BROKEN (FIN 841EZ) AND CRACK (FIN 842 EZ),INSTALL THE DOOR LINING PANEL FIN 842EZ,GAH320C1,"401MFD3-3:K5294 (DCDU, DATALINK CONTROL)
401MFD3-2:K5294 (DCDU, DATALINK CONTROL & DISPLAY UNIT)",0
COVER SLIDING WINDOW VIEW D2 RH BROKEN (FIN 841EZ) AND CRACK (FIN 842 EZ),RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,,0
PRESSURE SEAL DRAIN DAMAGE 1EA AT UPPER AFT END CENTER WING BOX,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330A1,,0
PRESSURE SEAL DRAIN DAMAGE 1EA AT UPPER AFT END CENTER WING BOX,REPLACE DRAIN VALVE PRESSURE SEAL QTY 1E,GAH320A1,,4
PRESSURE SEAL DRAIN DAMAGE 1EA AT UPPER AFT END CENTER WING BOX,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,0
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,COVERED BY MDR 805256366/SEQ.207,GAH320A1,,0
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH320A1,,2
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,REMOVE AFT CARGO PARTITION PANEL 152BW,GAH320A1,"195,990277777778 (LAMP (GE ONLY))",0
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",0
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,PERFORM PERMANENT REPAIR ON AFT CARGO PA,W302,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",10
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,"C38661-002:94697 (SERVO CONTROL, INB AILERON)
C38661-002:94697 (SERVO CONTROL, INB AILERON)
LA2K2B100DH0000:F6198 (FCPC-FLIGHT CONTROL PRIMARY COMPUTER)",9
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,INSTALL AFT CARGO PARTITION PANEL 152BW,GAH320A1,8ES455012-06:D8095 (POWER SUPPLY UNIT),0
AFT CARGO PARTITION PANEL 152 BW FOUND TEMPORARY REPAIR,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,0
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH320A1,,5
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,REMOVE AFT CARGO PARTITION PANEL 152AW,GAH320A1,"GA68100090007:GL002 (DRY CLEANING SOLVENT, 1DRUM=333KG)",0
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,"GA68100090007:GL002 (DRY CLEANING SOLVENT, 1DRUM=333KG)",20
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,PERFORM PERMANENT REPAIR ON AFT CARGO PA,W302,3-1596:0ZC54 (NOSE WHEEL ASSY A330 (ONLY) AS QE54963),0
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,"3-1546:0ZC54 (MAIN WHEEL ASSY (NPNMWTP1S)- PN QE54964)
3-1546:0ZC54 (MAIN WHEEL ASSY (NPNMWTP1S)- PN QE54964)",0
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,INSTALL AFT CARGO PARTITION PANEL 152AW,GAH320A1,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",0
AFT CARGO PARTITION PANEL 152 AW FOUND TEMPORARY REPAIR,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",10
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH320A1,,0.2
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,REMOVE AFT CARGO PARTITION PANEL 152CW,GAH320A1,,0
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,6764B060000:F1958 (BLEED-VALVE),4
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,PERFORM PERMANENT REPAIR ON BULK CARGO P,W302,3-1596:0ZC54 (NOSE WHEEL ASSY A330 (ONLY) AS QE54963),0
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,A5211074120200:FAPE3 (SEAL),0
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,INSTALL AFT CARGO PARTITION PANEL 152CW,GAH320A1,A5211074120200:FAPE3 (SEAL),0
AFT CARGO PARTITION PANEL 152 CW FOUND DELAMINATION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,0
ENG #2 TUBE LINE BRACKET FIRE LOOP FOUND CRACK POSITION AT 5 O CLOCK,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,,20
ENG #2 TUBE LINE BRACKET FIRE LOOP FOUND CRACK POSITION AT 5 O CLOCK,"INSTALL CLAMP,BOLT AND NUT FIRE LOOP POS",GAH320A1,P0640-101:57399 (LIFE VEST-INFANT),0
ENG #2 TUBE LINE BRACKET FIRE LOOP FOUND CRACK POSITION AT 5 O CLOCK,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,P0640-101:57399 (LIFE VEST-INFANT),3
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH320A1,P0640-101:57399 (LIFE VEST-INFANT),1
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,REMOVE AFT CARGO SIDEWALL PANEL 151RW,GAH320A1,P0640-101:57399 (LIFE VEST-INFANT),0.5
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,"A5211123620100:FAPE3 (SPRING)
A5211123620000:FAPE3 (SPRING)",0
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,PERFORM PERMANENT REPAIR ON AFT CARGO SI,W302,,0
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,,5
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,INSTALL AFT CARGO SIDEWALL PANEL 151RW,GAH320A1,,0
AFT CARGO SIDEWALL 151 RW FOUND DELAMINATION AND TEMPORARY REPAIR,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,20
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH320A1,PR1829B1-2:83574 (WINDSHIELD SEALANT (CT 4H)),2
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,REMOVE AFT CARGO SIDEWALL PANEL 151TW,GAH320A1,3-1546:0ZC54 (MAIN WHEEL ASSY (NPNMWTP1S)- PN QE54964),4
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,AS62408:U1653 (CLIP),4
